approved?,country,Email,list_platforms,list_tags,Name,phone,photo,score,timezone_name,developerID
no,Indonesia,aenean.eget.magna@icloud.couk,"Webflow , Google Tag Manager , Wix , Project Management , Bubble , UserTesting , Wordpress","Alternative Medicine , Utilities , Medical Practice , Electrical/Electronic Manufacturing , Wellness and Fitness",Keiko Barron,1-302-524-3547,https://randomuser.me/api/portraits/women/70.jpg,9,Asia/Pontianak,0WAELlFv
yes,Mexico,imperdiet.dictum.magna@icloud.net,"SAP , Selenium , Java , Adobe XD , UserTesting","Wireless , Warehousing , Primary/Secondary Education , Capital Markets , Photography",Cheyenne Stone,(763) 786-4540,https://randomuser.me/api/portraits/women/19.jpg,2,America/Monterrey,pq07ANXM
yes,Ireland,velit.justo.nec@outlook.com,"Bubble , English , Webflow , Figma","Broadcast Media , Human Resources , Recreational Facilities and Services , Music , Market Research",Helen Allen,(635) 884-0406,https://randomuser.me/api/portraits/women/76.jpg,9,Europe/Dublin,dBBxiMXQ
no,Germany,et.magnis@google.net,"English , API , Selenium , Wix , Wordpress , Postman","Alternative Medicine , Capital Markets , Gambling & Casinos , Management Consulting , Recreational Facilities and Services",Erasmus Hernandez,(302) 263-1329,https://randomuser.me/api/portraits/women/26.jpg,8,Europe/Berlin,hDLYABBF
no,Indonesia,enim.diam.vel@protonmail.ca,"JavaScript , API Connector , Flutter , English","Law Practice , Logistics and Supply Chain , Photography , Biotechnology , Textiles",Unity Gamble,1-369-423-2564,https://randomuser.me/api/portraits/women/34.jpg,8,Asia/Pontianak,aT9VbMWD
no,South Korea,commodo@aol.com,"English , Squarespace , Airtable , HTML , Webflow , Adalo","Outsourcing/Offshoring , Legislative Office , Venture Capital & Private Equity , Primary/Secondary Education , Recreational Facilities and Services",Ashton Jacobs,(316) 254-7244,https://randomuser.me/api/portraits/men/17.jpg,5,,Up8UE417
yes,Spain,erat.vitae@protonmail.com,"Squarespace , English , Adobe Photoshop , API , CSS , Postman , Shopify","Logistics and Supply Chain , Sporting Goods , Primary/Secondary Education , Paper & Forest Products , Recreational Facilities and Services",Shannon Curtis,1-641-463-4531,https://randomuser.me/api/portraits/men/37.jpg,8,Europe/Madrid,64maFgYF
yes,United Kingdom,ipsum.primis@google.ca,"Elementor (plugin for Wordpress) , Figma , Wordpress , Webflow , Canva , Shopify , Wix , Bootstrap , English","Utilities , Legislative Office , Accounting , Chemicals , Program Development",Nola Mosley,(239) 968-4156,https://randomuser.me/api/portraits/women/49.jpg,6,Europe/London,RaXn0QJ5
no,Russian Federation,suscipit@google.org,"Adobe XD , Wix , Microsoft Teams , API Connector , Webflow","Law Practice , Sporting Goods , Farming , Management Consulting , Import and Export",Hilary Baldwin,1-668-545-5582,https://randomuser.me/api/portraits/men/84.jpg,2,Europe/Samara,FEjlQ9by
no,United Kingdom,sagittis.semper.nam@hotmail.com,"Wordpress , Figma , JavaScript , Adobe After Effects","Political Organization , Supermarkets , Accounting , Computer Networking , Wellness and Fitness",Dennis Tanner,1-921-251-4134,https://randomuser.me/api/portraits/women/7.jpg,8,Europe/London,1jH0GuVP
yes,Costa Rica,dis.parturient@outlook.ca,"JavaScript , Wordpress , Shopify","Utilities , Public Relations and Communications , Logistics and Supply Chain , Tobacco , Outsourcing/Offshoring",Cora Holt,1-574-187-5691,https://randomuser.me/api/portraits/women/62.jpg,7,America/Costa_Rica,sCXnMu2g
no,Nigeria,ante.dictum@outlook.edu,"Zapier , Wordpress , Node.js , UX/UI Design","Translation and Localization , Health , Wellness and Fitness , Computer Networking , Wholesale",Randall O'connor,1-637-863-8125,https://randomuser.me/api/portraits/men/74.jpg,4,Africa/Lagos,yYVN3NjX
no,Italy,nulla@protonmail.net,"Bubble , API Connector , Sheet API , API , Google Analytics , Google Sheets , Adalo , Adobe Audition , Adobe Flash , Albato , AppOnboard Studio , Java , Shopify , Airtable , Webflow , English","SAAS , B2B , House Painting and Decorating , Mobile application , Music , Enterprises",Quyn Henry,(335) 514-5177,https://randomuser.me/api/portraits/men/51.jpg,5,Europe/Rome,Q1HtiddP
no,India,pulvinar.arcu@outlook.com,"Flutter , English , FlutterFlow , Bootstrap , Tableau , Stripe , HTML","Utilities , Wireless , Recreational Facilities and Services , Textiles , Tobacco",Daniel Mcguire,1-781-688-7444,https://randomuser.me/api/portraits/women/16.jpg,7,Asia/Kolkata,i9Tzj30i
no,Netherlands,sed@google.org,"English , JavaScript , Wordpress , Communication","Restaurants , Wholesale , International Trade and Development , Supermarkets , Market Research",Medge Reynolds,1-251-566-4315,https://randomuser.me/api/portraits/men/99.jpg,6,Europe/Amsterdam,NWufk3yP
no,Russian Federation,mauris.ut.quam@yahoo.org,"English , Elementor (plugin for Wordpress) , Glide , Postman , Mailchimp , Bootstrap","Import and Export , Political Organization , Museums and Institutions , Recreational Facilities and Services , Primary/Secondary Education",Shafira Middleton,(652) 687-2138,https://randomuser.me/api/portraits/women/9.jpg,6,Asia/Novosibirsk,xwNllpby
no,France,imperdiet.dictum@yahoo.ca,"English , JavaScript , Personality","Sporting Goods , Biotechnology , Market Research , Political Organization , Luxury Goods & Jewelry",Lane Charles,1-635-485-6451,https://randomuser.me/api/portraits/women/43.jpg,4,Europe/Paris,isvdxdte
yes,Russian Federation,ultrices@google.com,"English , C# , My Salesforce , Shopify , UX/UI Design , Adobe Photoshop , Elementor Pro (plugin for WordPress)","Renewables & Environment , Accounting , Newspapers , Political Organization , Biotechnology",Petra Velasquez,(883) 887-7861,https://randomuser.me/api/portraits/women/24.jpg,4,Asia/Novosibirsk,G2ldXIZP
no,United Kingdom,cras.eu@yahoo.couk,"English , Salesforce, UserTesting, Notion , Bubble","Legislative Office , Alternative Medicine , Wellness and Fitness , Capital Markets , Outsourcing/Offshoring",Yolanda Cohen,1-926-632-1318,https://randomuser.me/api/portraits/women/50.jpg,5,Europe/London,LdRI5WGA
no,Singapore,mauris.magna@yahoo.ca,"English , Adobe After Effects , Figma , UX/UI Design","Translation and Localization , Computer Networking , Renewables & Environment , Sporting Goods , Recreational Facilities and Services",Illana Howard,(851) 489-3368,https://randomuser.me/api/portraits/women/80.jpg,2,Asia/Singapore,cA4L65O6
yes,France,auctor@google.ca,"Elementor (plugin for Wordpress) , Wordpress , Facebook , Flutterwave , Full-stack development , Paypal , English , Communication , Personality , Copywriting , Google Analytics","Program Development , Legislative Office , Tobacco , Research , Gambling & Casinos",India Barron,1-781-899-6035,https://randomuser.me/api/portraits/men/72.jpg,2,Europe/Paris,TTf4bpXk
no,Spain,eu.euismod@hotmail.ca,"Adobe Illustrator , Figma , English , UX/UI Design","Wholesale , Newspapers , Legislative Office , Utilities , Renewables & Environment",Gary Alexander,1-793-877-1098,https://randomuser.me/api/portraits/men/28.jpg,9,Africa/Ceuta,FfaJH5Ok
yes,United States,dapibus@outlook.edu,"Bubble , Bubble+JS (plugin) , Drip , Salesforce , Xero , Balsamiq Wireframes , Docmosis , Docparser , Hackeet , Abstra , Typeform , Xano , English , Airtable , Adalo , CodePen , Google Sheets , Shopify , Microsoft PowerApps , API Connector , Tilda , Figma","Medical Practice , Restaurants , Program Development , Outsourcing/Offshoring , Sporting Goods",Zachary Mcfadden,1-743-158-6642,https://randomuser.me/api/portraits/men/38.jpg,0,America/Boise,Hnxuf8o7
yes,Nigeria,nunc@icloud.com,"English , Don't know yet , Postman , WooCommerce , Adobe Illustrator , Microsoft Teams","Computer Networking , Music , Transportation/Trucking/Railroad , Management Consulting , Sporting Goods",Adara Murphy,(728) 457-8148,https://randomuser.me/api/portraits/women/16.jpg,0,Africa/Lagos,bStWoozP
no,Costa Rica,non@protonmail.edu,"UiPath , English , API","Restaurants , Logistics and Supply Chain , International Trade and Development , Management Consulting , Human Resources",Paul Nieves,1-348-933-2382,https://randomuser.me/api/portraits/women/27.jpg,5,America/Costa_Rica,AV3IaxyR
yes,Indonesia,laoreet.posuere.enim@outlook.net,"Wordpress , WooCommerce , Elementor Pro (plugin for WordPress) , English","Venture Capital & Private Equity , Chemicals , Accounting , Program Development , Translation and Localization",Xanthus Gallegos,1-926-785-6589,https://randomuser.me/api/portraits/men/82.jpg,0,Asia/Jayapura,oA8eO0co
no,Sweden,sit.amet.risus@protonmail.org,"English , Salesforce , Personality","Market Research , Capital Markets , Supermarkets , Photography , Telecommunications",Ashely Alston,(486) 156-6673,https://randomuser.me/api/portraits/men/72.jpg,6,Europe/Stockholm,JB13Ckyd
yes,Sweden,cras.dictum@google.com,"Wordpress , JavaScript , Personality , Communication","Market Research , Wholesale , Primary/Secondary Education , Telecommunications , Mental Health Care",Ainsley Case,(573) 708-1252,https://randomuser.me/api/portraits/men/20.jpg,6,Europe/Stockholm,ztEO3vzY
no,South Africa,hymenaeos.mauris@protonmail.org,"(deleted thing) , (deleted thing) , (deleted thing) , (deleted thing) , UX/UI Design , (deleted thing) , (deleted thing) , (deleted thing) , (deleted thing) , (deleted thing) , Wordpress , (deleted thing) , (deleted thing) , Google Sheets , c++ , Notion , Invision , MySQL Google Sheets , JavaScript , C# , English","Farming , Political Organization , Legislative Office , Newspapers , Computer Networking",Mohammad Pope,(883) 405-5777,https://randomuser.me/api/portraits/men/50.jpg,6,Africa/Johannesburg,NC8G343c
no,Poland,diam.nunc.ullamcorper@aol.org,"Adobe Experience Manager , Actiondesk , Project Management , Elementor Pro (plugin for WordPress) , Shopify , Custom Code , Don't know yet","Wholesale , Market Research , Management Consulting , Medical Practice , Computer Networking",Jesse Lucas,1-954-352-5376,https://randomuser.me/api/portraits/women/78.jpg,9,Europe/Warsaw,JnR24ZOR
yes,Singapore,quis@google.com,"UX/UI Design , Tilda , API","Warehousing , Logistics and Supply Chain , Tobacco , Import and Export , Sporting Goods",Cassidy Heath,(276) 763-4853,https://randomuser.me/api/portraits/men/8.jpg,8,Asia/Singapore,ig8Nj817
yes,Belgium,suscipit.est@google.net,"English , Google Analytics , Shopify , Webflow","Logistics and Supply Chain , Gambling & Casinos , Medical Practice , Research , Sporting Goods",Rooney Church,1-888-898-4687,https://randomuser.me/api/portraits/men/32.jpg,9,Europe/Brussels,gNRulQa0
yes,Spain,pretium.neque@icloud.org,"Wordpress , English , Elementor (plugin for Wordpress) , WooCommerce , Salesforce , Selenium , Airtable","Legal Services , Medical Practice , Museums and Institutions , Farming , Supermarkets",Boris Kirkland,1-337-597-6347,https://randomuser.me/api/portraits/women/64.jpg,9,Europe/Madrid,V7TLbQ2m
yes,South Africa,nisi.aenean.eget@yahoo.edu,"English , Wordpress , CSS , Shopify , UserTesting , QA , Java","Computer Networking , Electrical/Electronic Manufacturing , Wellness and Fitness , Capital Markets , Management Consulting",Bevis Randall,1-735-766-1228,https://randomuser.me/api/portraits/men/61.jpg,8,Africa/Johannesburg,ILmiOrUN
yes,Sweden,interdum.feugiat.sed@yahoo.couk,"English , Wordpress , Adobe Photoshop , QA , AppGyver , Project Management , Stripe","Wholesale , Utilities , Management Consulting , Legal Services , Wireless",Chloe Sawyer,1-656-499-9125,https://randomuser.me/api/portraits/men/39.jpg,1,Europe/Stockholm,yi2mnwdZ
no,Singapore,adipiscing.non.luctus@google.couk,"Elementor (plugin for Wordpress) , Wix , Wordpress , English","Music , Chemicals , Supermarkets , Research , Primary/Secondary Education",Candace Cantrell,(834) 456-6168,https://randomuser.me/api/portraits/men/8.jpg,1,Asia/Singapore,D0P6AUM0
yes,Netherlands,duis.gravida@google.couk,"Wordpress , English , UX/UI Design , Figma","Law Practice , Capital Markets , International Trade and Development , Tobacco , Telecommunications",Damon Clemons,1-258-811-1622,https://randomuser.me/api/portraits/men/82.jpg,2,Europe/Amsterdam,DBkCluNu
yes,Germany,tellus.phasellus@google.ca,"Wordpress , English, Stripe , My Salesforce , Selenium , AppGyver","Photography , Law Practice , Museums and Institutions , Computer Networking , Outsourcing/Offshoring",Zelda Underwood,(371) 562-2087,https://randomuser.me/api/portraits/women/63.jpg,3,Europe/Berlin,QyRMZBo5
no,Belgium,a@outlook.com,"Retool , Wordpress , JavaScript , Custom Code , Stripe , Slack , Gmail","Renewables & Environment , Computer Networking , Venture Capital & Private Equity , Mental Health Care , Tobacco",Aileen Garner,1-871-741-8999,https://randomuser.me/api/portraits/women/79.jpg,1,Europe/Brussels,qy2Utrgf
yes,Australia,et.eros.proin@aol.edu,"English , Flutter , QA , Zoho Creator , UserTesting , Elementor Pro (plugin for WordPress) , Divi (WordPress plugin)","Law Practice , Accounting , Recreational Facilities and Services , Mental Health Care , Newspapers",Basil Calderon,1-662-385-2523,https://randomuser.me/api/portraits/women/80.jpg,1,Australia/Melbourne,8axgpo5V
yes,Canada,mattis.ornare@protonmail.edu,"English , Flutter , Personality","Textiles , Venture Capital & Private Equity , Medical Practice , Translation and Localization , Electrical/Electronic Manufacturing",Darius Conner,(704) 119-8346,https://randomuser.me/api/portraits/men/58.jpg,7,America/Blanc-Sablon,0Snra0bv
no,Italy,dolor.donec.fringilla@google.com,"English , Elementor (plugin for Wordpress) , MySQL Google Sheets , Wordpress , Figma , My Salesforce","Wholesale , Biotechnology , Sporting Goods , Research , Restaurants",Donna Mcdowell,1-475-437-1412,https://randomuser.me/api/portraits/women/83.jpg,9,Europe/Rome,lfRgagS0
no,Russian Federation,nunc.pulvinar.arcu@outlook.ca,"WooCommerce , CSS , Tableau , PHP , Adobe Photoshop","Biotechnology , Farming , Utilities , Tobacco , Wellness and Fitness",Velma Knight,(859) 453-4386,https://randomuser.me/api/portraits/women/43.jpg,0,Asia/Srednekolymsk,nOXWmIyn
yes,New Zealand,ligula.consectetuer@protonmail.couk,"Firebase , Flutter , CSS , HTML , React , Typescript , JavaScript , Vue.js , MongoDB , API , English , Project Management","Primary/Secondary Education , International Trade and Development , Telecommunications , Gambling & Casinos , Luxury Goods & Jewelry",Hanna Carson,(460) 932-5359,https://randomuser.me/api/portraits/women/48.jpg,4,Pacific/Auckland,ErKw3bNE
yes,United States,nibh.phasellus.nulla@yahoo.edu,"Postman , Figma , Wix , Project Management , Airtable","Management Consulting , Broadcast Media , Wellness and Fitness , Health , Recreational Facilities and Services",Rooney Small,(542) 365-6712,https://randomuser.me/api/portraits/men/0.jpg,8,America/Nome,j9Ls0pvK
no,Singapore,amet.luctus@icloud.net,"English , Adobe After Effects , UX/UI Design , Webflow , Wordpress , Shopify","Legal Services , Import and Export , Wireless , Chemicals , Law Practice",Jacob Dawson,(538) 746-1756,https://randomuser.me/api/portraits/women/34.jpg,4,Asia/Singapore,EtPVsAo8
yes,Germany,orci.tincidunt@hotmail.edu,"Wordpress , MySQL Google Sheets , Adobe Photoshop , Front-end development , PHP , AppGyver","Program Development , Farming , International Trade and Development , Tobacco , Paper & Forest Products",Phillip Watson,1-298-877-5758,https://randomuser.me/api/portraits/men/30.jpg,2,Europe/Busingen,jjVzJU0l
yes,United States,massa.vestibulum@outlook.ca,"English , MySQL Google Sheets , Google Sheets","International Trade and Development , Accounting , Wireless , Law Practice , Photography",Ira Mcdonald,1-564-749-1812,https://randomuser.me/api/portraits/women/87.jpg,8,America/Kentucky/Monticello,G6W75twU
yes,South Korea,sollicitudin.orci.sem@outlook.edu,"English , Bubble , UX/UI Design","Sporting Goods , Wireless , Broadcast Media , Electrical/Electronic Manufacturing , Venture Capital & Private Equity",Drake Grimes,(268) 353-7793,https://randomuser.me/api/portraits/men/85.jpg,9,,XJTlrcLz
yes,United Kingdom,at@outlook.edu,"English , Selenium , HTML , Adobe Illustrator , Webflow , Mailchimp","Luxury Goods & Jewelry , Warehousing , Utilities , Public Relations and Communications , Farming",Axel Orr,(357) 759-7352,https://randomuser.me/api/portraits/women/85.jpg,3,Europe/London,PqMhW25N
yes,Ukraine,gravida.mauris@protonmail.edu,"Tableau , Divi (WordPress plugin) , UX/UI Design , Elementor Pro (plugin for WordPress) , PHP","Biotechnology , Capital Markets , Health , Utilities , Recreational Facilities and Services",Beau Murray,1-539-381-1511,https://randomuser.me/api/portraits/women/53.jpg,7,Europe/Simferopol,jWZ6aF1K
no,Brazil,cras.convallis.convallis@yahoo.couk,"Flutter , English , Bubble , HTML , Elementor Pro (plugin for WordPress) , Postman , Salesforce","Biotechnology , Restaurants , Music , Law Practice , Museums and Institutions",Brennan Wallace,1-768-505-5294,https://randomuser.me/api/portraits/women/79.jpg,2,America/Belem,VgEZ9XtQ
no,United States,malesuada.fames@hotmail.org,"English , Copywriting , QA , HTML , ChatBot , Front-end development , Adobe Photoshop","Recreational Facilities and Services , Program Development , Accounting , Political Organization , Textiles",Drew Long,1-531-580-0363,https://randomuser.me/api/portraits/women/41.jpg,7,America/Nome,KR8myydb
yes,Spain,dictum.sapien@protonmail.ca,"Xano , Bootstrap , FlutterFlow , Google Analytics , UserTesting","Warehousing , Political Organization , Renewables & Environment , Sporting Goods , Chemicals",Mechelle Medina,1-414-760-5063,https://randomuser.me/api/portraits/men/83.jpg,1,Africa/Ceuta,Cmc3ubf1
yes,Netherlands,nonummy.ipsum@aol.couk,"Webflow , Google Tag Manager , Java , Wix , HTML , Adobe Illustrator , Xano","Capital Markets , Outsourcing/Offshoring , Wireless , Alternative Medicine , Newspapers",Isadora Mcmahon,1-154-104-7015,https://randomuser.me/api/portraits/women/7.jpg,7,Europe/Amsterdam,5GPJMv0I
no,Canada,eget.volutpat@icloud.com,"Wordpress , English , Figma , UX/UI Design","Broadcast Media , Wellness and Fitness , Paper & Forest Products , Legal Services , Mental Health Care",Beck Cross,1-432-315-3193,https://randomuser.me/api/portraits/women/96.jpg,6,America/Vancouver,S0GOhS6J
yes,Netherlands,ac.mattis@aol.ca,"Notion , English , Figma , UX/UI Design","Sporting Goods , Paper & Forest Products , Restaurants , Renewables & Environment , Program Development",Melodie Fuentes,(386) 482-3741,https://randomuser.me/api/portraits/women/54.jpg,9,Europe/Amsterdam,7IWmOMzJ
yes,Philippines,amet@icloud.org,"Adobe Illustrator , API , Google Analytics , Zoho Creator , Project Management","Primary/Secondary Education , Warehousing , Wholesale , Management Consulting , Translation and Localization",Neil Ramos,(434) 338-8022,https://randomuser.me/api/portraits/men/53.jpg,8,Asia/Manila,oCmRx0G1
yes,Australia,luctus.et.ultrices@hotmail.couk,"English , Figma , Hubspot , Google Analytics , Project Management","Music , Program Development , Accounting , Renewables & Environment , Biotechnology",Raven Glenn,(691) 241-7644,https://randomuser.me/api/portraits/men/5.jpg,5,Australia/Adelaide,KVcpy82L
no,Mexico,faucibus.orci@outlook.com,"Squarespace , Xano , MySQL Google Sheets , Elementor Pro (plugin for WordPress) , Adobe Illustrator , Salesforce","International Trade and Development , Museums and Institutions , Market Research , Political Organization , Newspapers",Pearl Hester,1-383-588-5260,https://randomuser.me/api/portraits/men/13.jpg,9,America/Bahia_Banderas,c6cdsI46
yes,Canada,suspendisse@google.ca,"English , Google Sheets , Communication , MySQL Google Sheets","Telecommunications , Legal Services , Program Development , Legislative Office , Utilities",Tamekah Lynn,(356) 578-1611,https://randomuser.me/api/portraits/women/12.jpg,9,America/Whitehorse,uxl28EZD
no,Mexico,luctus.aliquet@yahoo.couk,"English , Bubble , Figma","Luxury Goods & Jewelry , Venture Capital & Private Equity , Restaurants , Primary/Secondary Education , Political Organization",Leroy Mejia,1-540-621-7876,https://randomuser.me/api/portraits/women/0.jpg,2,America/Ojinaga,u9h0gaIJ
no,Mexico,eleifend@hotmail.net,"English , QA , Squarespace , API Connector , MySQL Google Sheets , Mailchimp","Wholesale , Renewables & Environment , Alternative Medicine , Legislative Office , Primary/Secondary Education",Shelby Lynch,(364) 730-9764,https://randomuser.me/api/portraits/women/52.jpg,1,America/Cancun,tViLNVew
no,Costa Rica,aliquam.iaculis.lacus@protonmail.edu,"English , QA , Figma , Wordpress , Divi (WordPress plugin) , WooCommerce","Medical Practice , Farming , Sporting Goods , Restaurants , Tobacco",Illana Noble,(410) 566-3610,https://randomuser.me/api/portraits/women/40.jpg,7,America/Costa_Rica,yuUFulk5
no,India,eu.elit@hotmail.net,"English , Figma , UX/UI Design","Capital Markets , Legal Services , Health , Photography , Telecommunications",Richard Rodriguez,(615) 665-7534,https://randomuser.me/api/portraits/women/25.jpg,6,Asia/Kolkata,FMu7zVaR
