approved?,country,Email,list_platforms,list_tags,Name,phone,photo,score,timezone_name,developerID,match_count
yes,United Kingdom,nulla.tempor@yahoo.couk,"Canva , Bubble , My Salesforce , QA , Google Analytics","Supermarkets , Alternative Medicine , Biotechnology , Translation and Localization , Program Development",Britanney Daugherty,1-158-777-1504,https://randomuser.me/api/portraits/men/2.jpg,8,Europe/London,aIKxoInl,3
no,Philippines,vehicula.risus@yahoo.com,"Google Analytics , MySQL Google Sheets , Bubble , Stripe , My Salesforce","Broadcast Media , Wellness and Fitness , Accounting , Warehousing , Human Resources",Perry Faulkner,(185) 188-2638,https://randomuser.me/api/portraits/women/0.jpg,5,Asia/Manila,WxN29fIC,3
no,Singapore,nunc@hotmail.org,"Wordpress  , Wix , Postman , Bubble , My Salesforce","Broadcast Media , Utilities , Gambling & Casinos , Newspapers , Capital Markets",Megan Irwin,(510) 694-8418,https://randomuser.me/api/portraits/men/30.jpg,1,Asia/Singapore,45Z10uSc,3
no,Germany,tristique.aliquet@google.couk,"Wordpress , Adalo , My Salesforce , HTML , UX/UI Design , Glide , English , Bubble","Landing Page , Venture Capital & Private Equity , Wholesale , Electrical/Electronic Manufacturing , Transportation/Trucking/Railroad , Farming",Quinlan Foreman,(873) 533-5713,https://randomuser.me/api/portraits/women/61.jpg,0,Europe/Busingen,tMDW7m5v,3
no,Italy,dolor.donec.fringilla@google.com,"English , Elementor (plugin for Wordpress) , MySQL Google Sheets , Wordpress , Figma , My Salesforce","Wholesale , Biotechnology , Sporting Goods , Research , Restaurants",Donna Mcdowell,1-475-437-1412,https://randomuser.me/api/portraits/women/83.jpg,9,Europe/Rome,lfRgagS0,2
yes,United States,consectetuer.adipiscing.elit@outlook.couk,"AppGyver , My Salesforce , Front-end development , UserTesting , Project Management","Research , Utilities , Human Resources , Primary/Secondary Education , Sporting Goods",Nola Clemons,1-849-487-4723,https://randomuser.me/api/portraits/men/30.jpg,9,America/Indiana/Indianapolis,OowGWdiN,2
yes,Australia,molestie.dapibus@yahoo.ca,"English , Figma , Don't know yet , Zoho Creator , UserTesting , Google Analytics , My Salesforce","Market Research , Renewables & Environment , Law Practice , Public Relations and Communications , Transportation/Trucking/Railroad",Alexa Chambers,1-818-456-3544,https://randomuser.me/api/portraits/women/34.jpg,9,Antarctica/Macquarie,vm2CCrbM,2
no,Australia,velit@google.org,"English , Google Sheets , Figma , Bootstrap , UserTesting , Shopify , My Salesforce","Wellness and Fitness , Health , Chemicals , Newspapers , Accounting",Orla Calhoun,1-671-212-1647,https://randomuser.me/api/portraits/women/53.jpg,9,Australia/Lord_Howe,SJqwKOqn,2
yes,France,aliquam@outlook.couk,"Elementor Pro (plugin for WordPress) , Zoho Creator , Squarespace , My Salesforce , QA","Textiles , Venture Capital & Private Equity , Gambling & Casinos , Restaurants , Outsourcing/Offshoring",Abel Daniel,(751) 657-2806,https://randomuser.me/api/portraits/men/78.jpg,9,Europe/Paris,0MN2QB5R,2
yes,Colombia,sed.sem@google.couk,"My Salesforce , Project Management , Squarespace , WooCommerce , Zoho Creator","Management Consulting , Translation and Localization , Outsourcing/Offshoring , Restaurants , Utilities",Bell Craig,(832) 373-9233,https://randomuser.me/api/portraits/women/79.jpg,9,America/Bogota,zxdEcYJ3,2
yes,Chile,penatibus@icloud.edu,"English , Figma , Java , My Salesforce , MySQL Google Sheets , API Connector , Front-end development","Political Organization , Restaurants , Market Research , Renewables & Environment , Public Relations and Communications",Zelenia Wise,(792) 743-0245,https://randomuser.me/api/portraits/women/59.jpg,9,America/Punta_Arenas,CAqZ8Lm8,2
yes,Russian Federation,auctor.vitae.aliquet@outlook.couk,"English , Divi (WordPress plugin) , Canva , Shopify , My Salesforce , Front-end development","Utilities , Outsourcing/Offshoring , Translation and Localization , Gambling & Casinos , Renewables & Environment",Upton Carrillo,(413) 852-5851,https://randomuser.me/api/portraits/women/59.jpg,8,Asia/Irkutsk,ne7Z3nfq,2
no,Indonesia,enim.nec@aol.com,"CSS , Front-end development , UX/UI Design , My Salesforce , Shopify","Transportation/Trucking/Railroad , International Trade and Development , Translation and Localization , Political Organization , Management Consulting",Chase Stephens,(576) 753-9351,https://randomuser.me/api/portraits/women/77.jpg,7,Asia/Jakarta,3T8FrKqB,2
no,Ireland,eros.proin@aol.couk,"Flutter , English , Zoho Creator , My Salesforce , Custom Code , Tableau , WooCommerce","Wellness and Fitness , Warehousing , Public Relations and Communications , Chemicals , Biotechnology",Lee Sellers,(439) 171-7670,https://randomuser.me/api/portraits/women/31.jpg,7,Europe/Dublin,0sr50GcJ,2
yes,Indonesia,amet.ultricies.sem@yahoo.com,"English  , My Salesforce , CSS , Adobe Illustrator","Accounting , Biotechnology , Transportation/Trucking/Railroad , Health , Wireless",Catherine Rodriquez,(965) 255-9788,https://randomuser.me/api/portraits/men/49.jpg,6,Asia/Jayapura,iOnB0rub,2
yes,Ireland,adipiscing@outlook.edu,"English , Glide , My Salesforce , Hubspot , Custom Code , Postman","Electrical/Electronic Manufacturing , Legal Services , Utilities , International Trade and Development , Legislative Office",Axel Roth,(245) 354-8818,https://randomuser.me/api/portraits/men/91.jpg,6,Europe/Dublin,iwG920a0,2
yes,United Kingdom,sed@yahoo.net,"SAP  , My Salesforce , Glide , Adobe Illustrator , Airtable","Utilities , Supermarkets , Legal Services , International Trade and Development , Chemicals",Melodie Velez,(672) 524-3715,https://randomuser.me/api/portraits/women/69.jpg,6,Europe/London,f7tM6rDo,2
no,Italy,donec.egestas.aliquam@icloud.edu,"English , My Salesforce , API Connector , Bootstrap , Postman , CSS","Photography , Recreational Facilities and Services , Newspapers , Supermarkets , Gambling & Casinos",Jeanette Hebert,(111) 229-4426,https://randomuser.me/api/portraits/women/93.jpg,6,Europe/Rome,C80q9Cb3,2
no,United Kingdom,cras.eu@yahoo.couk,"English , Salesforce, UserTesting, Notion , Bubble","Legislative Office , Alternative Medicine , Wellness and Fitness , Capital Markets , Outsourcing/Offshoring",Yolanda Cohen,1-926-632-1318,https://randomuser.me/api/portraits/women/50.jpg,5,Europe/London,LdRI5WGA,2
no,Chile,proin@hotmail.ca,"English , JavaScript , Xano , My Salesforce , Mailchimp , Microsoft Teams , Elementor (plugin for Wordpress)","Broadcast Media , Legislative Office , Mental Health Care , Transportation/Trucking/Railroad , Paper & Forest Products",David Battle,(734) 880-4637,https://randomuser.me/api/portraits/women/44.jpg,5,America/Santiago,JVo35st9,2
